AttributeName;AttributeType
NoID;ID
A0;string
A1;double
A2;string
A3;double
A4;string
A5;double
A6;string
A7;double
A8;string
A9;double
Disease;string

NoID;A0;A1;A2;A3;A4;A5;A6;A7;A8;A9;Disease
791;none;45.5;true;23445;red;11;true;7;blue;9;Maladie790
792;danger;0.55;none;23;hot;23445;none;9;safe;23445;Maladie791
793;none;7;medium;23;red;0.55;hot;20.7;none;1234;Maladie792
794;hot;10;medium;1234;cold;10;cold;23;blue;1234;Maladie793
795;medium;23445;hot;20.7;blue;45.5;cold;23445;cold;45.5;Maladie794
796;false;11;safe;23;danger;9;blue;9;safe;20.7;Maladie795
797;hot;0.55;none;9;blue;20.7;red;9;true;23445;Maladie796
798;true;9;blue;7;danger;10;danger;20.7;red;23;Maladie797
799;hot;11;hot;23;cold;7;cold;10;blue;23;Maladie798
800;cold;11;red;23;hot;11;none;11;none;7;Maladie799
801;hot;45.5;red;23;blue;10;danger;45.5;red;23;Maladie800
802;medium;11;red;9;safe;1234;safe;7;hot;1234;Maladie801
803;false;7;danger;20.7;none;20.7;medium;11;false;9;Maladie802
804;false;10;red;23;cold;23445;cold;10;medium;23445;Maladie803
805;cold;23;cold;9;cold;20.7;blue;11;blue;9;Maladie804
806;red;11;none;23;false;23445;hot;9;true;23;Maladie805
807;hot;1234;false;23445;blue;11;true;10;danger;1234;Maladie806
808;red;11;red;23;none;11;hot;7;medium;23;Maladie807
809;medium;1234;safe;45.5;medium;9;none;11;true;1234;Maladie808
810;red;9;danger;9;hot;11;true;9;false;1234;Maladie809
811;danger;23445;true;1234;true;45.5;safe;23445;hot;23;Maladie810
812;medium;20.7;medium;11;cold;23445;hot;45.5;red;23445;Maladie811
813;medium;9;false;11;red;9;red;11;cold;45.5;Maladie812
814;blue;7;safe;9;true;9;true;45.5;medium;23445;Maladie813
815;hot;0.55;hot;20.7;danger;11;cold;0.55;red;20.7;Maladie814
816;true;9;hot;23445;blue;23445;false;23445;none;20.7;Maladie815
817;cold;23445;none;1234;none;20.7;true;45.5;false;45.5;Maladie816
818;blue;11;true;1234;false;1234;blue;23445;true;20.7;Maladie817
819;cold;45.5;blue;10;medium;20.7;safe;7;none;0.55;Maladie818
820;false;1234;blue;10;blue;0.55;blue;10;hot;10;Maladie819
821;medium;7;none;23445;danger;23;blue;20.7;red;0.55;Maladie820
822;false;10;safe;1234;medium;10;safe;11;cold;45.5;Maladie821
823;danger;11;cold;45.5;cold;1234;true;1234;true;1234;Maladie822
824;blue;20.7;red;23;medium;7;hot;11;none;0.55;Maladie823
825;cold;23;safe;11;blue;23445;safe;23;safe;10;Maladie824
826;false;7;blue;1234;none;45.5;safe;10;blue;7;Maladie825
827;true;23445;red;0.55;true;45.5;medium;7;false;20.7;Maladie826
828;true;0.55;true;23445;hot;7;none;0.55;medium;45.5;Maladie827
829;cold;10;safe;23445;none;7;hot;45.5;red;23;Maladie828
830;blue;1234;true;7;danger;20.7;blue;11;safe;11;Maladie829
831;hot;0.55;true;23;false;20.7;hot;23445;blue;10;Maladie830
832;cold;0.55;red;7;false;11;danger;20.7;cold;10;Maladie831
833;medium;1234;true;20.7;hot;11;none;0.55;safe;0.55;Maladie832
834;medium;11;cold;0.55;true;11;red;23445;medium;45.5;Maladie833
835;none;0.55;red;1234;red;1234;none;10;false;20.7;Maladie834
836;hot;45.5;none;10;blue;20.7;hot;11;red;0.55;Maladie835
837;safe;45.5;true;7;hot;7;cold;7;safe;0.55;Maladie836
838;cold;45.5;red;9;blue;23;blue;20.7;red;0.55;Maladie837
839;blue;9;hot;1234;safe;0.55;red;11;false;11;Maladie838
840;cold;45.5;safe;9;safe;0.55;none;7;safe;9;Maladie839
841;none;23;false;20.7;safe;9;true;9;danger;0.55;Maladie840
842;safe;9;medium;0.55;none;23445;cold;10;none;1234;Maladie841
843;false;0.55;none;45.5;danger;7;medium;23445;safe;0.55;Maladie842
844;safe;10;cold;23;red;1234;hot;23;none;7;Maladie843
845;false;23445;true;1234;safe;0.55;hot;9;danger;23445;Maladie844
846;medium;10;danger;11;false;23;blue;0.55;true;0.55;Maladie845
847;blue;9;blue;7;safe;23;hot;0.55;true;9;Maladie846
848;medium;11;blue;20.7;false;7;none;45.5;true;23445;Maladie847
849;danger;20.7;cold;11;true;23;medium;20.7;none;0.55;Maladie848
850;red;7;danger;10;danger;1234;cold;0.55;blue;9;Maladie849
851;red;10;red;10;false;10;none;23445;none;1234;Maladie850
852;cold;23;none;23445;false;23445;false;11;none;1234;Maladie851
853;false;9;blue;11;cold;7;blue;10;medium;9;Maladie852
854;hot;9;red;0.55;true;10;danger;23;hot;0.55;Maladie853
855;safe;9;true;7;hot;23445;medium;10;blue;1234;Maladie854
856;cold;10;blue;45.5;none;0.55;none;1234;medium;23445;Maladie855
857;hot;45.5;none;9;true;1234;blue;0.55;hot;10;Maladie856
858;none;9;blue;20.7;blue;10;safe;10;medium;23445;Maladie857
859;true;45.5;cold;23;false;0.55;red;20.7;none;1234;Maladie858
860;false;0.55;cold;45.5;cold;23445;true;23445;blue;0.55;Maladie859
861;true;1234;hot;7;true;20.7;medium;23445;danger;9;Maladie860
862;blue;11;true;45.5;cold;23;safe;0.55;red;0.55;Maladie861
863;blue;0.55;true;45.5;red;45.5;safe;45.5;cold;23;Maladie862
864;hot;7;hot;10;medium;23445;safe;0.55;medium;7;Maladie863
865;blue;0.55;hot;7;true;23445;none;0.55;hot;1234;Maladie864
866;red;20.7;red;20.7;false;7;false;23445;danger;1234;Maladie865
867;safe;11;hot;11;medium;11;blue;0.55;danger;11;Maladie866
868;blue;20.7;false;7;blue;11;true;1234;danger;45.5;Maladie867
869;blue;23;hot;23;danger;11;danger;45.5;medium;1234;Maladie868
870;medium;10;true;11;false;11;medium;7;danger;9;Maladie869
871;cold;11;cold;23445;false;23445;hot;45.5;safe;45.5;Maladie870
872;none;20.7;cold;1234;hot;1234;safe;11;hot;11;Maladie871
873;true;45.5;red;1234;safe;0.55;none;23445;hot;23;Maladie872
874;none;20.7;none;7;true;10;cold;0.55;red;23;Maladie873
875;red;10;safe;45.5;blue;1234;danger;9;safe;1234;Maladie874
876;cold;9;red;10;true;7;none;0.55;blue;20.7;Maladie875
877;true;20.7;cold;45.5;hot;23445;false;11;danger;23445;Maladie876
878;red;0.55;danger;9;hot;23;hot;1234;safe;20.7;Maladie877
879;true;23445;safe;0.55;none;11;hot;0.55;red;0.55;Maladie878
880;danger;0.55;hot;10;red;9;blue;1234;false;7;Maladie879
881;hot;23;false;9;red;45.5;danger;0.55;cold;23;Maladie880
882;safe;1234;medium;20.7;medium;45.5;true;7;danger;20.7;Maladie881
883;red;23;true;7;false;23445;true;20.7;blue;9;Maladie882
884;cold;11;cold;23445;medium;11;danger;23445;red;20.7;Maladie883
885;false;0.55;false;23445;danger;45.5;cold;20.7;red;11;Maladie884
886;medium;11;safe;7;cold;11;danger;45.5;danger;7;Maladie885
887;blue;9;false;1234;none;9;none;7;true;9;Maladie886
888;red;45.5;true;20.7;true;9;hot;23;false;23445;Maladie887
889;none;11;danger;20.7;blue;7;safe;10;medium;7;Maladie888
890;hot;10;medium;11;danger;9;blue;9;true;20.7;Maladie889
891;safe;45.5;blue;23445;safe;23445;blue;11;danger;1234;Maladie890
892;danger;0.55;true;9;danger;45.5;none;23;hot;23;Maladie891
893;none;0.55;red;45.5;true;0.55;none;23;cold;7;Maladie892
894;medium;9;safe;10;safe;10;cold;0.55;danger;0.55;Maladie893
895;cold;45.5;true;7;blue;10;cold;7;safe;10;Maladie894
896;true;9;medium;1234;cold;11;none;23;true;1234;Maladie895
897;red;7;hot;1234;red;45.5;red;1234;false;23;Maladie896
898;cold;7;danger;20.7;false;0.55;hot;23;safe;11;Maladie897
899;blue;9;blue;1234;safe;23;red;11;true;0.55;Maladie898
900;true;7;danger;7;danger;10;cold;11;cold;23445;Maladie899
901;false;1234;false;7;red;0.55;safe;7;hot;23;Maladie900
902;hot;9;danger;9;blue;20.7;medium;23;medium;23;Maladie901
903;false;23;cold;10;true;23;medium;11;safe;9;Maladie902
904;false;23;cold;23445;red;10;hot;1234;medium;45.5;Maladie903
905;danger;11;true;0.55;red;1234;blue;0.55;true;11;Maladie904
906;hot;11;true;9;medium;10;true;10;safe;9;Maladie905
907;true;9;danger;0.55;cold;10;danger;45.5;safe;7;Maladie906
908;danger;7;none;23445;medium;0.55;none;9;none;9;Maladie907
909;cold;23445;false;9;true;10;danger;23;medium;1234;Maladie908
910;hot;23;false;23445;blue;1234;false;0.55;true;45.5;Maladie909
911;cold;11;cold;1234;false;7;blue;23;true;23445;Maladie910
912;hot;1234;cold;7;true;9;none;11;safe;10;Maladie911
913;blue;1234;cold;9;red;0.55;safe;23;danger;11;Maladie912
914;safe;0.55;blue;20.7;safe;7;none;1234;hot;7;Maladie913
915;danger;1234;cold;11;true;9;medium;23;cold;9;Maladie914
916;danger;23445;none;9;red;45.5;hot;7;red;23;Maladie915
917;medium;9;danger;1234;hot;23445;true;7;safe;20.7;Maladie916
918;hot;11;none;9;cold;9;false;23;danger;11;Maladie917
919;red;45.5;none;23;false;10;cold;45.5;danger;1234;Maladie918
920;safe;7;none;45.5;hot;45.5;medium;45.5;true;23445;Maladie919
921;false;7;red;10;red;45.5;hot;9;cold;9;Maladie920
922;true;9;red;7;false;10;false;23445;blue;45.5;Maladie921
923;red;20.7;red;23445;none;23445;blue;10;blue;23;Maladie922
924;red;1234;hot;45.5;blue;23;red;1234;cold;9;Maladie923
925;hot;11;red;7;cold;0.55;none;11;none;23445;Maladie924
926;hot;10;cold;20.7;none;10;none;20.7;danger;20.7;Maladie925
927;safe;23445;medium;23;hot;23;blue;0.55;blue;23445;Maladie926
928;safe;1234;blue;45.5;hot;10;danger;7;medium;1234;Maladie927
929;false;1234;cold;7;none;7;blue;45.5;danger;23;Maladie928
930;true;11;red;20.7;medium;20.7;medium;23;red;23445;Maladie929
931;false;7;danger;10;false;10;cold;10;blue;23445;Maladie930
932;true;1234;danger;10;danger;20.7;red;11;safe;10;Maladie931
933;medium;45.5;medium;11;hot;45.5;blue;10;true;11;Maladie932
934;red;0.55;hot;7;none;23;medium;20.7;none;23445;Maladie933
935;none;0.55;none;1234;medium;11;medium;11;none;7;Maladie934
936;danger;0.55;cold;10;danger;7;none;9;hot;1234;Maladie935
937;danger;9;cold;7;false;45.5;safe;20.7;true;7;Maladie936
938;true;20.7;true;23;false;9;false;23445;blue;20.7;Maladie937
939;cold;45.5;blue;1234;cold;9;true;10;blue;9;Maladie938
940;hot;23;false;1234;danger;9;false;23;true;10;Maladie939
941;none;45.5;false;1234;hot;10;true;7;true;11;Maladie940
942;medium;1234;blue;0.55;medium;23;cold;45.5;medium;11;Maladie941
943;medium;0.55;safe;0.55;false;11;hot;7;none;9;Maladie942
944;safe;23445;false;10;false;9;none;11;danger;11;Maladie943
945;none;45.5;blue;10;danger;23;blue;23;none;23;Maladie944
946;hot;45.5;false;20.7;hot;20.7;true;23445;danger;10;Maladie945
947;danger;23445;false;1234;danger;11;hot;23;false;1234;Maladie946
948;blue;23445;true;23;medium;7;false;1234;cold;23;Maladie947
949;red;11;medium;1234;false;20.7;true;23;danger;20.7;Maladie948
950;red;9;hot;23445;true;1234;medium;11;hot;45.5;Maladie949
951;none;0.55;safe;0.55;true;45.5;blue;23;none;45.5;Maladie950
952;red;23445;blue;11;none;23445;safe;23;cold;23445;Maladie951
953;medium;10;red;20.7;safe;45.5;cold;1234;true;7;Maladie952
954;true;11;red;23;true;11;safe;0.55;danger;0.55;Maladie953
955;danger;45.5;red;10;false;7;hot;1234;cold;45.5;Maladie954
956;none;23445;red;20.7;red;7;false;10;medium;0.55;Maladie955
957;red;11;false;0.55;safe;7;safe;10;hot;10;Maladie956
958;true;45.5;safe;23445;danger;1234;true;23445;hot;23;Maladie957
959;none;9;hot;20.7;cold;10;hot;10;danger;1234;Maladie958
960;blue;9;safe;7;true;9;none;20.7;blue;0.55;Maladie959
961;cold;23;hot;9;red;20.7;true;23;red;23;Maladie960
962;safe;1234;medium;9;medium;20.7;medium;10;hot;0.55;Maladie961
963;true;23;danger;0.55;true;1234;blue;1234;blue;1234;Maladie962
964;true;7;medium;0.55;blue;45.5;red;23445;blue;23;Maladie963
965;safe;0.55;cold;23;danger;1234;safe;23;danger;20.7;Maladie964
966;danger;10;red;20.7;danger;0.55;safe;1234;red;9;Maladie965
967;red;1234;blue;1234;danger;0.55;safe;20.7;red;1234;Maladie966
968;blue;0.55;blue;20.7;cold;0.55;none;20.7;false;23445;Maladie967
969;hot;20.7;false;10;safe;11;safe;0.55;true;23445;Maladie968
970;none;45.5;danger;1234;safe;20.7;cold;1234;medium;0.55;Maladie969
971;safe;20.7;red;9;danger;0.55;true;9;danger;1234;Maladie970
972;hot;23445;cold;23445;false;23;blue;23;red;0.55;Maladie971
973;none;1234;safe;20.7;red;0.55;blue;11;medium;0.55;Maladie972
974;blue;0.55;danger;23445;danger;7;cold;9;cold;20.7;Maladie973
975;true;9;hot;1234;none;7;medium;10;false;0.55;Maladie974
976;cold;9;red;23;danger;23445;true;45.5;none;23;Maladie975
977;false;11;none;0.55;medium;11;hot;7;medium;23;Maladie976
978;medium;10;safe;23445;hot;10;true;45.5;safe;0.55;Maladie977
979;safe;0.55;blue;20.7;true;20.7;none;45.5;blue;9;Maladie978
980;blue;9;medium;10;false;23;cold;1234;cold;1234;Maladie979
981;hot;23;hot;9;false;20.7;none;11;danger;20.7;Maladie980
982;none;1234;cold;0.55;medium;45.5;none;7;blue;9;Maladie981
983;cold;23445;hot;45.5;medium;7;cold;0.55;danger;20.7;Maladie982
984;cold;10;safe;1234;danger;9;blue;20.7;blue;23445;Maladie983
985;blue;45.5;safe;10;false;11;danger;45.5;medium;0.55;Maladie984
986;cold;9;false;23;blue;9;none;10;medium;11;Maladie985
987;red;9;true;45.5;safe;11;medium;7;danger;23;Maladie986
988;none;10;blue;23;safe;1234;red;10;safe;20.7;Maladie987
989;none;45.5;medium;45.5;none;0.55;true;23445;cold;11;Maladie988
990;safe;10;cold;0.55;hot;45.5;blue;7;safe;0.55;Maladie989
991;safe;10;medium;0.55;true;20.7;safe;10;medium;10;Maladie990
992;medium;9;none;20.7;false;10;false;23445;cold;23445;Maladie991
993;none;10;true;7;true;23;cold;10;cold;7;Maladie992
994;cold;20.7;none;10;true;11;safe;0.55;cold;9;Maladie993
995;none;23445;false;10;medium;45.5;blue;1234;medium;9;Maladie994
996;none;23;false;23;cold;11;medium;20.7;safe;20.7;Maladie995
997;true;10;danger;23445;red;45.5;blue;20.7;medium;1234;Maladie996
998;none;20.7;safe;0.55;medium;9;hot;7;hot;11;Maladie997
999;false;11;red;45.5;cold;23;blue;11;hot;11;Maladie998
1000;hot;20.7;false;9;false;20.7;medium;1234;medium;20.7;Maladie999
